policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1476,State Secondary Education Reform 6,Early Childhood,Rajasthan,2020,All,Proposed,0.42,"EdTech Companies, Universities",0.962,"Policy to enhance teacher quality and community participation using digital device distribution. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and community participation using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Budget allocations defined.","p1476 state secondary education reform 6 early childhood rajasthan all proposed edtech companies, universities policy to enhance teacher quality and community participation using digital device distribution. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance teacher quality and community participation using digital device distribution. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. budget allocations defined."
P1337,State Vocational Education Reform 54,Higher Education,Gujarat,2017,Women,Implemented,75.26,"Ministry of Education, Local NGOs",0.694,This policy aims to improve infrastructure in Higher Education by providing teacher training programs across Gujarat. It focuses on gender equity.,Increase infrastructure score by 31% within 4 years and reduce disparities between rural and urban areas.,This policy aims to improve infrastructure in Higher Education by providing teacher training programs across Gujarat. It focuses on gender equity. Goals: Increase infrastructure score by 31% within 4 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Focus on equity.,"p1337 state vocational education reform 54 higher education gujarat women implemented ministry of education, local ngos this policy aims to improve infrastructure in higher education by providing teacher training programs across gujarat. it focuses on gender equity. increase infrastructure score by 31% within 4 years and reduce disparities between rural and urban areas. this policy aims to improve infrastructure in higher education by providing teacher training programs across gujarat. it focuses on gender equity. goals: increase infrastructure score by 31% within 4 years and reduce disparities between rural and urban areas. stakeholder consultations planned. focus on equity."
P1441,National Early Childhood Education Reform 26,Primary,Uttar Pradesh,2019,Students,Proposed,0.12,"Teachers' Unions, Community Leaders",0.183,This policy aims to improve teacher quality in Primary by providing grants to schools across Uttar Pradesh. It focuses on rural accessibility.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Primary by providing grants to schools across Uttar Pradesh. It focuses on rural accessibility. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined.","p1441 national early childhood education reform 26 primary uttar pradesh students proposed teachers' unions, community leaders this policy aims to improve teacher quality in primary by providing grants to schools across uttar pradesh. it focuses on rural accessibility. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve teacher quality in primary by providing grants to schools across uttar pradesh. it focuses on rural accessibility. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. focus on equity. budget allocations defined."
P1174,District Early Childhood Education Reform 1,Primary,Punjab,2024,Disadvantaged Groups,Under Review,14.82,"Central Government, Donors",0.946,This policy aims to improve teacher quality in Primary by providing grants to schools across Punjab. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Primary by providing grants to schools across Punjab. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Focus on equity.","p1174 district early childhood education reform 1 primary punjab disadvantaged groups under review central government, donors this policy aims to improve teacher quality in primary by providing grants to schools across punjab. it focuses on gender equity. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve teacher quality in primary by providing grants to schools across punjab. it focuses on gender equity. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. focus on equity."
P1003,National Primary Education Reform 6,Secondary,Delhi,2016,All,Implemented,2.21,"Central Government, Donors",0.666,"Policy to enhance teacher quality and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation.","p1003 national primary education reform 6 secondary delhi all implemented central government, donors policy to enhance teacher quality and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance teacher quality and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. includes evaluation."
P1334,National Primary Education Reform 39,Vocational,Tamil Nadu,2022,Urban Students,Proposed,1.25,"State Education Department, Private Partners",0.758,This policy aims to improve digital access in Vocational by providing curriculum reform across Tamil Nadu. It focuses on urban inclusion.,"Train 3732 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve digital access in Vocational by providing curriculum reform across Tamil Nadu. It focuses on urban inclusion. Goals: Train 3732 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity.","p1334 national primary education reform 39 vocational tamil nadu urban students proposed state education department, private partners this policy aims to improve digital access in vocational by providing curriculum reform across tamil nadu. it focuses on urban inclusion. train 3732 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. this policy aims to improve digital access in vocational by providing curriculum reform across tamil nadu. it focuses on urban inclusion. goals: train 3732 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. focus on equity. focus on equity."
P1410,District Higher Education Education Reform 34,Vocational,Tamil Nadu,2021,Urban Students,Proposed,74.12,"State Education Department, Private Partners",0.577,A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Urban Students and aims to improve retention.,Increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Urban Students and aims to improve retention. Goals: Increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas. Budget allocations defined. Timeline set.,"p1410 district higher education education reform 34 vocational tamil nadu urban students proposed state education department, private partners a nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. targets urban students and aims to improve retention. increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. targets urban students and aims to improve retention. goals: increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas. budget allocations defined. timeline set."
P1071,State Higher Education Education Reform 96,Primary,Kerala,2016,Rural Students,Implemented,3.97,"Teachers' Unions, Community Leaders",0.219,"Policy to enhance teacher quality and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Train 3856 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance teacher quality and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Train 3856 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Focus on equity. Budget allocations defined.","p1071 state higher education education reform 96 primary kerala rural students implemented teachers' unions, community leaders policy to enhance teacher quality and governance using scholarship schemes. includes capacity-building, monitoring and community engagement. train 3856 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. policy to enhance teacher quality and governance using scholarship schemes. includes capacity-building, monitoring and community engagement. goals: train 3856 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. focus on equity. budget allocations defined."
P1210,National Higher Education Education Reform 61,Primary,Gujarat,2020,Rural Students,Under Review,64.83,"Teachers' Unions, Community Leaders",0.406,"Policy to enhance digital access and governance using grants to schools. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance digital access and governance using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Timeline set.","p1210 national higher education education reform 61 primary gujarat rural students under review teachers' unions, community leaders policy to enhance digital access and governance using grants to schools. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance digital access and governance using grants to schools. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. timeline set."
P1064,District Higher Education Education Reform 9,Higher Education,Maharashtra,2023,Disadvantaged Groups,Pilot,40.16,"EdTech Companies, Universities",0.877,A nationwide/state-level initiative to strengthen teacher quality through grants to schools. Targets Disadvantaged Groups and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen teacher quality through grants to schools. Targets Disadvantaged Groups and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Budget allocations defined.","p1064 district higher education education reform 9 higher education maharashtra disadvantaged groups pilot edtech companies, universities a nationwide/state-level initiative to strengthen teacher quality through grants to schools. targets disadvantaged groups and aims to raise completion rates. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen teacher quality through grants to schools. targets disadvantaged groups and aims to raise completion rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. budget allocations defined."
P1385,District Vocational Education Reform 87,Secondary,Kerala,2017,Disadvantaged Groups,Under Review,0.13,"Ministry of Education, Local NGOs",0.642,A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Disadvantaged Groups and aims to raise completion rates.,Increase early childhood development score by 19% within 1 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Disadvantaged Groups and aims to raise completion rates. Goals: Increase early childhood development score by 19% within 1 years and reduce disparities between rural and urban areas. Timeline set. Includes evaluation.,"p1385 district vocational education reform 87 secondary kerala disadvantaged groups under review ministry of education, local ngos a nationwide/state-level initiative to strengthen early childhood development through curriculum reform. targets disadvantaged groups and aims to raise completion rates. increase early childhood development score by 19% within 1 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen early childhood development through curriculum reform. targets disadvantaged groups and aims to raise completion rates. goals: increase early childhood development score by 19% within 1 years and reduce disparities between rural and urban areas. timeline set. includes evaluation."
P1094,State Vocational Education Reform 90,Early Childhood,Gujarat,2023,All,Implemented,15.21,"EdTech Companies, Universities",0.877,"Policy to enhance learning outcomes and assessment quality using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance learning outcomes and assessment quality using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation.","p1094 state vocational education reform 90 early childhood gujarat all implemented edtech companies, universities policy to enhance learning outcomes and assessment quality using scholarship schemes. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance learning outcomes and assessment quality using scholarship schemes. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. includes evaluation."
P1486,State Vocational Education Reform 92,Secondary,Delhi,2025,Rural Students,Pilot,4.62,"Central Government, Donors",0.435,"Policy to enhance digital access and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance digital access and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Focus on equity.","p1486 state vocational education reform 92 secondary delhi rural students pilot central government, donors policy to enhance digital access and governance using scholarship schemes. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance digital access and governance using scholarship schemes. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. focus on equity."
P1186,National Higher Education Education Reform 88,Higher Education,Punjab,2016,Rural Students,Pilot,0.26,"Ministry of Education, Local NGOs",0.522,This policy aims to improve early childhood development in Higher Education by providing teacher training programs across Punjab. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Higher Education by providing teacher training programs across Punjab. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Includes evaluation.","p1186 national higher education education reform 88 higher education punjab rural students pilot ministry of education, local ngos this policy aims to improve early childhood development in higher education by providing teacher training programs across punjab. it focuses on gender equity. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve early childhood development in higher education by providing teacher training programs across punjab. it focuses on gender equity. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. includes evaluation."
P1034,State Early Childhood Education Reform 80,Primary,Punjab,2016,All,Implemented,8.97,"Ministry of Education, Local NGOs",0.24,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets All and aims to boost employability.,Increase infrastructure score by 33% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets All and aims to boost employability. Goals: Increase infrastructure score by 33% within 5 years and reduce disparities between rural and urban areas. Includes evaluation. Budget allocations defined.,"p1034 state early childhood education reform 80 primary punjab all implemented ministry of education, local ngos a nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. targets all and aims to boost employability. increase infrastructure score by 33% within 5 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. targets all and aims to boost employability. goals: increase infrastructure score by 33% within 5 years and reduce disparities between rural and urban areas. includes evaluation. budget allocations defined."
P1078,State Primary Education Reform 58,Vocational,Rajasthan,2020,Teachers,Implemented,11.49,"Ministry of Education, Local NGOs",0.84,This policy aims to improve early childhood development in Vocational by providing teacher training programs across Rajasthan. It focuses on rural accessibility.,"Train 1376 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve early childhood development in Vocational by providing teacher training programs across Rajasthan. It focuses on rural accessibility. Goals: Train 1376 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Stakeholder consultations planned.","p1078 state primary education reform 58 vocational rajasthan teachers implemented ministry of education, local ngos this policy aims to improve early childhood development in vocational by providing teacher training programs across rajasthan. it focuses on rural accessibility. train 1376 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. this policy aims to improve early childhood development in vocational by providing teacher training programs across rajasthan. it focuses on rural accessibility. goals: train 1376 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. includes evaluation. stakeholder consultations planned."
P1001,District Primary Education Reform 4,Higher Education,Uttar Pradesh,2018,Teachers,Proposed,3.16,"Ministry of Education, Local NGOs",0.127,A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets Teachers and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets Teachers and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Focus on equity.","p1001 district primary education reform 4 higher education uttar pradesh teachers proposed ministry of education, local ngos a nationwide/state-level initiative to strengthen infrastructure through teacher training programs. targets teachers and aims to improve retention. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen infrastructure through teacher training programs. targets teachers and aims to improve retention. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. focus on equity."
P1012,District Early Childhood Education Reform 21,Primary,Rajasthan,2016,All,Implemented,3.18,"State Education Department, Private Partners",0.459,This policy aims to improve early childhood development in Primary by providing teacher training programs across Rajasthan. It focuses on STEM education.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Primary by providing teacher training programs across Rajasthan. It focuses on STEM education. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Includes evaluation.","p1012 district early childhood education reform 21 primary rajasthan all implemented state education department, private partners this policy aims to improve early childhood development in primary by providing teacher training programs across rajasthan. it focuses on stem education. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve early childhood development in primary by providing teacher training programs across rajasthan. it focuses on stem education. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. includes evaluation."
P1416,State Secondary Education Reform 70,Primary,Delhi,2019,Urban Students,Under Review,37.05,"EdTech Companies, Universities",0.45,"Policy to enhance teacher quality and community participation using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Train 3843 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance teacher quality and community participation using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Train 3843 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Budget allocations defined.","p1416 state secondary education reform 70 primary delhi urban students under review edtech companies, universities policy to enhance teacher quality and community participation using public-private partnerships. includes capacity-building, monitoring and community engagement. train 3843 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. policy to enhance teacher quality and community participation using public-private partnerships. includes capacity-building, monitoring and community engagement. goals: train 3843 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. budget allocations defined. budget allocations defined."
P1023,National Higher Education Education Reform 31,Higher Education,Kerala,2020,Women,Proposed,7.26,"Central Government, Donors",0.718,This policy aims to improve vocational skills in Higher Education by providing teacher training programs across Kerala. It focuses on marginalized communities.,Increase vocational skills score by 39% within 4 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Higher Education by providing teacher training programs across Kerala. It focuses on marginalized communities. Goals: Increase vocational skills score by 39% within 4 years and reduce disparities between rural and urban areas. Timeline set. Timeline set.,"p1023 national higher education education reform 31 higher education kerala women proposed central government, donors this policy aims to improve vocational skills in higher education by providing teacher training programs across kerala. it focuses on marginalized communities. increase vocational skills score by 39% within 4 years and reduce disparities between rural and urban areas. this policy aims to improve vocational skills in higher education by providing teacher training programs across kerala. it focuses on marginalized communities. goals: increase vocational skills score by 39% within 4 years and reduce disparities between rural and urban areas. timeline set. timeline set."
P1073,District Vocational Education Reform 48,Early Childhood,Delhi,2016,Disadvantaged Groups,Pilot,2.44,"State Education Department, Private Partners",0.585,This policy aims to improve teacher quality in Early Childhood by providing grants to schools across Delhi. It focuses on marginalized communities.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Early Childhood by providing grants to schools across Delhi. It focuses on marginalized communities. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Budget allocations defined.","p1073 district vocational education reform 48 early childhood delhi disadvantaged groups pilot state education department, private partners this policy aims to improve teacher quality in early childhood by providing grants to schools across delhi. it focuses on marginalized communities. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve teacher quality in early childhood by providing grants to schools across delhi. it focuses on marginalized communities. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. budget allocations defined."
P1183,District Higher Education Education Reform 58,Secondary,Punjab,2024,Teachers,Proposed,50.51,"Ministry of Education, Local NGOs",0.443,A nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. Targets Teachers and aims to boost employability.,Increase early childhood development score by 37% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. Targets Teachers and aims to boost employability. Goals: Increase early childhood development score by 37% within 5 years and reduce disparities between rural and urban areas. Budget allocations defined. Includes evaluation.,"p1183 district higher education education reform 58 secondary punjab teachers proposed ministry of education, local ngos a nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. targets teachers and aims to boost employability. increase early childhood development score by 37% within 5 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. targets teachers and aims to boost employability. goals: increase early childhood development score by 37% within 5 years and reduce disparities between rural and urban areas. budget allocations defined. includes evaluation."
P1132,District Vocational Education Reform 94,Secondary,Karnataka,2018,Students,Pilot,2.54,"EdTech Companies, Universities",0.149,A nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. Targets Students and aims to improve retention.,"Train 1028 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. Targets Students and aims to improve retention. Goals: Train 1028 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Stakeholder consultations planned.","p1132 district vocational education reform 94 secondary karnataka students pilot edtech companies, universities a nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. targets students and aims to improve retention. train 1028 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. a nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. targets students and aims to improve retention. goals: train 1028 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. stakeholder consultations planned."
P1411,State Primary Education Reform 78,Secondary,Maharashtra,2019,Students,Proposed,0.13,"Ministry of Education, Local NGOs",0.423,A nationwide/state-level initiative to strengthen teacher quality through digital device distribution. Targets Students and aims to improve retention.,Increase teacher quality score by 11% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen teacher quality through digital device distribution. Targets Students and aims to improve retention. Goals: Increase teacher quality score by 11% within 4 years and reduce disparities between rural and urban areas. Focus on equity. Includes evaluation.,"p1411 state primary education reform 78 secondary maharashtra students proposed ministry of education, local ngos a nationwide/state-level initiative to strengthen teacher quality through digital device distribution. targets students and aims to improve retention. increase teacher quality score by 11% within 4 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen teacher quality through digital device distribution. targets students and aims to improve retention. goals: increase teacher quality score by 11% within 4 years and reduce disparities between rural and urban areas. focus on equity. includes evaluation."
P1194,District Higher Education Education Reform 28,Secondary,Tamil Nadu,2017,Rural Students,Proposed,11.22,"Teachers' Unions, Community Leaders",0.741,This policy aims to improve digital access in Secondary by providing public-private partnerships across Tamil Nadu. It focuses on urban inclusion.,Increase digital access score by 31% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve digital access in Secondary by providing public-private partnerships across Tamil Nadu. It focuses on urban inclusion. Goals: Increase digital access score by 31% within 1 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Stakeholder consultations planned.,"p1194 district higher education education reform 28 secondary tamil nadu rural students proposed teachers' unions, community leaders this policy aims to improve digital access in secondary by providing public-private partnerships across tamil nadu. it focuses on urban inclusion. increase digital access score by 31% within 1 years and reduce disparities between rural and urban areas. this policy aims to improve digital access in secondary by providing public-private partnerships across tamil nadu. it focuses on urban inclusion. goals: increase digital access score by 31% within 1 years and reduce disparities between rural and urban areas. stakeholder consultations planned. stakeholder consultations planned."
P1056,District Early Childhood Education Reform 4,Early Childhood,Delhi,2015,Teachers,Under Review,93.72,"Teachers' Unions, Community Leaders",0.105,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets Teachers and aims to improve retention.,"Train 620 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets Teachers and aims to improve retention. Goals: Train 620 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Timeline set. Budget allocations defined.","p1056 district early childhood education reform 4 early childhood delhi teachers under review teachers' unions, community leaders a nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. targets teachers and aims to improve retention. train 620 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. a nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. targets teachers and aims to improve retention. goals: train 620 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. timeline set. budget allocations defined."
P1149,National Vocational Education Reform 10,Primary,Delhi,2015,Rural Students,Under Review,0.83,"State Education Department, Private Partners",0.89,"Policy to enhance infrastructure and community participation using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Train 2818 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance infrastructure and community participation using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Train 2818 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Focus on equity.","p1149 national vocational education reform 10 primary delhi rural students under review state education department, private partners policy to enhance infrastructure and community participation using public-private partnerships. includes capacity-building, monitoring and community engagement. train 2818 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. policy to enhance infrastructure and community participation using public-private partnerships. includes capacity-building, monitoring and community engagement. goals: train 2818 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. includes evaluation. focus on equity."
P1019,State Vocational Education Reform 9,Higher Education,Punjab,2020,Disadvantaged Groups,Proposed,60.57,"Central Government, Donors",0.39,A nationwide/state-level initiative to strengthen vocational skills through digital device distribution. Targets Disadvantaged Groups and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen vocational skills through digital device distribution. Targets Disadvantaged Groups and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined.","p1019 state vocational education reform 9 higher education punjab disadvantaged groups proposed central government, donors a nationwide/state-level initiative to strengthen vocational skills through digital device distribution. targets disadvantaged groups and aims to reduce dropout rates. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen vocational skills through digital device distribution. targets disadvantaged groups and aims to reduce dropout rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. focus on equity. budget allocations defined."
P1205,National Vocational Education Reform 87,Higher Education,Maharashtra,2023,Teachers,Pilot,48.28,"EdTech Companies, Universities",0.339,This policy aims to improve vocational skills in Higher Education by providing public-private partnerships across Maharashtra. It focuses on gender equity.,Increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Higher Education by providing public-private partnerships across Maharashtra. It focuses on gender equity. Goals: Increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas. Includes evaluation. Stakeholder consultations planned.,"p1205 national vocational education reform 87 higher education maharashtra teachers pilot edtech companies, universities this policy aims to improve vocational skills in higher education by providing public-private partnerships across maharashtra. it focuses on gender equity. increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas. this policy aims to improve vocational skills in higher education by providing public-private partnerships across maharashtra. it focuses on gender equity. goals: increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas. includes evaluation. stakeholder consultations planned."
P1079,State Secondary Education Reform 81,Higher Education,Punjab,2023,Students,Implemented,7.57,"EdTech Companies, Universities",0.741,"Policy to enhance early childhood development and community participation using digital device distribution. Includes capacity-building, monitoring and community engagement.",Increase early childhood development score by 7% within 5 years and reduce disparities between rural and urban areas.,"Policy to enhance early childhood development and community participation using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Increase early childhood development score by 7% within 5 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Timeline set.","p1079 state secondary education reform 81 higher education punjab students implemented edtech companies, universities policy to enhance early childhood development and community participation using digital device distribution. includes capacity-building, monitoring and community engagement. increase early childhood development score by 7% within 5 years and reduce disparities between rural and urban areas. policy to enhance early childhood development and community participation using digital device distribution. includes capacity-building, monitoring and community engagement. goals: increase early childhood development score by 7% within 5 years and reduce disparities between rural and urban areas. stakeholder consultations planned. timeline set."
