policy_id,title,sector,region,year,impact_score,goals,text_for_nlp
P1400,District Early Childhood Education Reform 9,Higher Education,West Bengal,2021,0.359,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district early childhood education reform 9 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1226,District Secondary Education Reform 72,Early Childhood,West Bengal,2016,0.886,"Train 4184 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","district secondary education reform 72 train 4184 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1354,National Primary Education Reform 60,Early Childhood,Delhi,2025,0.343,Increase teacher quality score by 7% within 2 years and reduce disparities between rural and urban areas.,national primary education reform 60 increase teacher quality score by 7% within 2 years and reduce disparities between rural and urban areas.
P1235,State Early Childhood Education Reform 69,Primary,Tamil Nadu,2018,0.371,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state early childhood education reform 69 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1383,National Higher Education Education Reform 25,Primary,Uttar Pradesh,2016,0.196,Increase teacher quality score by 32% within 1 years and reduce disparities between rural and urban areas.,national higher education education reform 25 increase teacher quality score by 32% within 1 years and reduce disparities between rural and urban areas.
P1275,District Early Childhood Education Reform 20,Early Childhood,Uttar Pradesh,2016,0.907,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district early childhood education reform 20 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1037,District Vocational Education Reform 12,Vocational,Kerala,2021,0.466,"Train 4556 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","district vocational education reform 12 train 4556 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1197,National Early Childhood Education Reform 13,Secondary,Gujarat,2024,0.903,"Train 4326 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","national early childhood education reform 13 train 4326 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1140,State Early Childhood Education Reform 7,Higher Education,Delhi,2017,0.322,"Train 147 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state early childhood education reform 7 train 147 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1365,District Secondary Education Reform 9,Higher Education,Uttar Pradesh,2025,0.957,Increase early childhood development score by 34% within 1 years and reduce disparities between rural and urban areas.,district secondary education reform 9 increase early childhood development score by 34% within 1 years and reduce disparities between rural and urban areas.
P1245,National Early Childhood Education Reform 36,Early Childhood,Rajasthan,2018,0.133,Increase learning outcomes score by 8% within 1 years and reduce disparities between rural and urban areas.,national early childhood education reform 36 increase learning outcomes score by 8% within 1 years and reduce disparities between rural and urban areas.
P1440,District Vocational Education Reform 49,Secondary,Karnataka,2020,0.169,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 49 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1287,State Vocational Education Reform 63,Early Childhood,Rajasthan,2016,0.268,Increase digital access score by 9% within 1 years and reduce disparities between rural and urban areas.,state vocational education reform 63 increase digital access score by 9% within 1 years and reduce disparities between rural and urban areas.
P1060,District Vocational Education Reform 89,Higher Education,Maharashtra,2021,0.566,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 89 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1112,State Primary Education Reform 47,Higher Education,Uttar Pradesh,2025,0.106,"Train 2749 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state primary education reform 47 train 2749 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1090,State Secondary Education Reform 97,Higher Education,Kerala,2019,0.576,"Train 1490 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state secondary education reform 97 train 1490 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1437,District Secondary Education Reform 49,Primary,West Bengal,2020,0.875,Increase learning outcomes score by 9% within 1 years and reduce disparities between rural and urban areas.,district secondary education reform 49 increase learning outcomes score by 9% within 1 years and reduce disparities between rural and urban areas.
P1007,District Primary Education Reform 77,Higher Education,Gujarat,2015,0.881,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district primary education reform 77 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1361,National Primary Education Reform 77,Early Childhood,Gujarat,2016,0.916,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national primary education reform 77 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1347,State Primary Education Reform 16,Higher Education,Punjab,2019,0.37,Increase digital access score by 8% within 3 years and reduce disparities between rural and urban areas.,state primary education reform 16 increase digital access score by 8% within 3 years and reduce disparities between rural and urban areas.
P1339,District Primary Education Reform 91,Primary,Gujarat,2022,0.796,"Train 1418 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","district primary education reform 91 train 1418 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1159,State Vocational Education Reform 66,Primary,Karnataka,2022,0.817,"Train 3521 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state vocational education reform 66 train 3521 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1151,National Primary Education Reform 4,Secondary,Tamil Nadu,2025,0.799,Increase digital access score by 16% within 3 years and reduce disparities between rural and urban areas.,national primary education reform 4 increase digital access score by 16% within 3 years and reduce disparities between rural and urban areas.
P1178,National Secondary Education Reform 80,Higher Education,Kerala,2025,0.6,"Train 4423 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","national secondary education reform 80 train 4423 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1394,District Vocational Education Reform 84,Higher Education,West Bengal,2017,0.533,"Train 1570 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","district vocational education reform 84 train 1570 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1185,National Higher Education Education Reform 72,Primary,Punjab,2018,0.485,Increase learning outcomes score by 9% within 5 years and reduce disparities between rural and urban areas.,national higher education education reform 72 increase learning outcomes score by 9% within 5 years and reduce disparities between rural and urban areas.
P1450,District Primary Education Reform 58,Secondary,Gujarat,2025,0.474,"Train 1820 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","district primary education reform 58 train 1820 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1011,State Primary Education Reform 22,Vocational,Karnataka,2021,0.689,Increase digital access score by 39% within 1 years and reduce disparities between rural and urban areas.,state primary education reform 22 increase digital access score by 39% within 1 years and reduce disparities between rural and urban areas.
P1381,State Primary Education Reform 11,Early Childhood,Uttar Pradesh,2022,0.846,"Train 1067 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state primary education reform 11 train 1067 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1104,District Higher Education Education Reform 33,Vocational,Gujarat,2022,0.535,Increase early childhood development score by 5% within 4 years and reduce disparities between rural and urban areas.,district higher education education reform 33 increase early childhood development score by 5% within 4 years and reduce disparities between rural and urban areas.
P1082,District Higher Education Education Reform 25,Secondary,Gujarat,2023,0.941,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 25 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1039,State Early Childhood Education Reform 2,Early Childhood,West Bengal,2016,0.544,Increase vocational skills score by 35% within 2 years and reduce disparities between rural and urban areas.,state early childhood education reform 2 increase vocational skills score by 35% within 2 years and reduce disparities between rural and urban areas.
P1315,State Secondary Education Reform 31,Primary,Punjab,2023,0.634,Increase teacher quality score by 18% within 2 years and reduce disparities between rural and urban areas.,state secondary education reform 31 increase teacher quality score by 18% within 2 years and reduce disparities between rural and urban areas.
P1168,District Early Childhood Education Reform 90,Secondary,West Bengal,2016,0.543,"Train 2982 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","district early childhood education reform 90 train 2982 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1470,District Higher Education Education Reform 7,Vocational,Delhi,2020,0.273,Increase infrastructure score by 38% within 4 years and reduce disparities between rural and urban areas.,district higher education education reform 7 increase infrastructure score by 38% within 4 years and reduce disparities between rural and urban areas.
P1297,National Primary Education Reform 35,Higher Education,West Bengal,2025,0.557,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national primary education reform 35 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1475,National Secondary Education Reform 74,Vocational,Kerala,2018,0.668,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national secondary education reform 74 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1199,State Primary Education Reform 20,Vocational,Punjab,2019,0.772,"Train 1514 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","state primary education reform 20 train 1514 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1298,District Early Childhood Education Reform 46,Secondary,Karnataka,2017,0.403,"Train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","district early childhood education reform 46 train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1417,State Primary Education Reform 1,Higher Education,Tamil Nadu,2021,0.175,"Train 4042 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state primary education reform 1 train 4042 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1147,National Primary Education Reform 90,Early Childhood,West Bengal,2024,0.297,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national primary education reform 90 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1393,District Early Childhood Education Reform 85,Vocational,Punjab,2019,0.791,Increase teacher quality score by 5% within 2 years and reduce disparities between rural and urban areas.,district early childhood education reform 85 increase teacher quality score by 5% within 2 years and reduce disparities between rural and urban areas.
P1148,State Primary Education Reform 34,Secondary,Uttar Pradesh,2016,0.443,"Train 4089 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state primary education reform 34 train 4089 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1448,National Primary Education Reform 36,Vocational,Maharashtra,2019,0.264,"Train 2482 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national primary education reform 36 train 2482 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1288,National Secondary Education Reform 67,Primary,Delhi,2021,0.757,"Train 230 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national secondary education reform 67 train 230 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1124,National Vocational Education Reform 8,Higher Education,Tamil Nadu,2017,0.536,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 8 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1369,District Higher Education Education Reform 17,Early Childhood,Punjab,2022,0.158,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 17 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1097,District Higher Education Education Reform 16,Secondary,Rajasthan,2021,0.971,Increase digital access score by 19% within 2 years and reduce disparities between rural and urban areas.,district higher education education reform 16 increase digital access score by 19% within 2 years and reduce disparities between rural and urban areas.
P1144,District Primary Education Reform 98,Secondary,Punjab,2021,0.818,"Train 2930 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","district primary education reform 98 train 2930 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1240,National Vocational Education Reform 52,Primary,Punjab,2021,0.628,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 52 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1443,State Vocational Education Reform 17,Higher Education,Delhi,2020,0.313,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 17 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1098,District Primary Education Reform 5,Vocational,Punjab,2015,0.497,Increase vocational skills score by 33% within 2 years and reduce disparities between rural and urban areas.,district primary education reform 5 increase vocational skills score by 33% within 2 years and reduce disparities between rural and urban areas.
P1408,District Secondary Education Reform 84,Secondary,Maharashtra,2023,0.366,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district secondary education reform 84 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1123,State Primary Education Reform 31,Secondary,Punjab,2020,0.824,"Train 4939 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","state primary education reform 31 train 4939 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1184,State Early Childhood Education Reform 11,Primary,Tamil Nadu,2023,0.87,Increase digital access score by 6% within 4 years and reduce disparities between rural and urban areas.,state early childhood education reform 11 increase digital access score by 6% within 4 years and reduce disparities between rural and urban areas.
P1203,District Higher Education Education Reform 45,Higher Education,Uttar Pradesh,2024,0.256,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 45 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1247,National Secondary Education Reform 79,Primary,Maharashtra,2024,0.931,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national secondary education reform 79 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1306,National Primary Education Reform 85,Early Childhood,Gujarat,2022,0.583,"Train 3575 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national primary education reform 85 train 3575 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1299,National Primary Education Reform 62,Higher Education,Delhi,2020,0.126,"Train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","national primary education reform 62 train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1352,District Primary Education Reform 39,Vocational,Maharashtra,2020,0.146,"Train 4088 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","district primary education reform 39 train 4088 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1387,District Higher Education Education Reform 44,Secondary,Uttar Pradesh,2023,0.564,Increase infrastructure score by 9% within 2 years and reduce disparities between rural and urban areas.,district higher education education reform 44 increase infrastructure score by 9% within 2 years and reduce disparities between rural and urban areas.
P1396,State Early Childhood Education Reform 67,Higher Education,Gujarat,2022,0.99,"Train 3150 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state early childhood education reform 67 train 3150 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1285,State Vocational Education Reform 91,Primary,Maharashtra,2021,0.721,Increase early childhood development score by 8% within 5 years and reduce disparities between rural and urban areas.,state vocational education reform 91 increase early childhood development score by 8% within 5 years and reduce disparities between rural and urban areas.
P1126,National Primary Education Reform 81,Vocational,Karnataka,2016,0.28,"Train 1352 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","national primary education reform 81 train 1352 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1303,State Vocational Education Reform 77,Higher Education,Gujarat,2018,0.268,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 77 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1224,District Primary Education Reform 6,Secondary,Tamil Nadu,2015,0.608,Increase digital access score by 19% within 5 years and reduce disparities between rural and urban areas.,district primary education reform 6 increase digital access score by 19% within 5 years and reduce disparities between rural and urban areas.
P1419,District Secondary Education Reform 62,Higher Education,Maharashtra,2021,0.547,Increase vocational skills score by 13% within 2 years and reduce disparities between rural and urban areas.,district secondary education reform 62 increase vocational skills score by 13% within 2 years and reduce disparities between rural and urban areas.
P1220,National Secondary Education Reform 82,Vocational,Kerala,2015,0.108,"Train 4934 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national secondary education reform 82 train 4934 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1130,National Vocational Education Reform 50,Primary,Uttar Pradesh,2022,0.217,"Train 3908 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national vocational education reform 50 train 3908 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1421,District Primary Education Reform 90,Early Childhood,Punjab,2017,0.134,"Train 1685 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","district primary education reform 90 train 1685 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1290,National Secondary Education Reform 21,Secondary,Maharashtra,2015,0.283,"Train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national secondary education reform 21 train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1445,State Early Childhood Education Reform 88,Secondary,Gujarat,2020,0.55,Increase teacher quality score by 14% within 1 years and reduce disparities between rural and urban areas.,state early childhood education reform 88 increase teacher quality score by 14% within 1 years and reduce disparities between rural and urban areas.
P1377,District Vocational Education Reform 62,Primary,West Bengal,2018,0.241,"Train 4166 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","district vocational education reform 62 train 4166 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1292,State Primary Education Reform 52,Early Childhood,Uttar Pradesh,2022,0.619,"Train 734 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state primary education reform 52 train 734 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1356,District Secondary Education Reform 53,Early Childhood,Gujarat,2021,0.698,Increase teacher quality score by 5% within 1 years and reduce disparities between rural and urban areas.,district secondary education reform 53 increase teacher quality score by 5% within 1 years and reduce disparities between rural and urban areas.
P1295,District Vocational Education Reform 6,Higher Education,Punjab,2019,0.237,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 6 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1397,National Early Childhood Education Reform 16,Early Childhood,Delhi,2018,0.103,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 16 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1341,District Vocational Education Reform 30,Secondary,West Bengal,2021,0.23,Increase learning outcomes score by 25% within 4 years and reduce disparities between rural and urban areas.,district vocational education reform 30 increase learning outcomes score by 25% within 4 years and reduce disparities between rural and urban areas.
P1113,State Higher Education Education Reform 23,Vocational,Kerala,2019,0.827,Increase digital access score by 40% within 1 years and reduce disparities between rural and urban areas.,state higher education education reform 23 increase digital access score by 40% within 1 years and reduce disparities between rural and urban areas.
P1180,State Vocational Education Reform 54,Higher Education,Rajasthan,2015,0.839,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 54 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1308,District Higher Education Education Reform 99,Higher Education,Kerala,2015,0.821,"Train 3167 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","district higher education education reform 99 train 3167 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1433,State Higher Education Education Reform 10,Early Childhood,Kerala,2016,0.481,"Train 1280 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","state higher education education reform 10 train 1280 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1488,District Primary Education Reform 57,Higher Education,Punjab,2025,0.436,Increase vocational skills score by 36% within 4 years and reduce disparities between rural and urban areas.,district primary education reform 57 increase vocational skills score by 36% within 4 years and reduce disparities between rural and urban areas.
P1482,District Vocational Education Reform 18,Secondary,Tamil Nadu,2019,0.712,Increase learning outcomes score by 38% within 1 years and reduce disparities between rural and urban areas.,district vocational education reform 18 increase learning outcomes score by 38% within 1 years and reduce disparities between rural and urban areas.
P1423,State Vocational Education Reform 36,Early Childhood,Maharashtra,2021,0.199,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 36 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1234,District Early Childhood Education Reform 6,Higher Education,Tamil Nadu,2015,0.159,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district early childhood education reform 6 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1312,District Early Childhood Education Reform 59,Early Childhood,Tamil Nadu,2015,0.338,Increase vocational skills score by 38% within 2 years and reduce disparities between rural and urban areas.,district early childhood education reform 59 increase vocational skills score by 38% within 2 years and reduce disparities between rural and urban areas.
P1165,State Early Childhood Education Reform 25,Primary,Karnataka,2025,0.378,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state early childhood education reform 25 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1137,National Vocational Education Reform 95,Higher Education,Maharashtra,2018,0.966,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 95 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1198,District Early Childhood Education Reform 13,Vocational,Tamil Nadu,2019,0.464,Increase infrastructure score by 38% within 1 years and reduce disparities between rural and urban areas.,district early childhood education reform 13 increase infrastructure score by 38% within 1 years and reduce disparities between rural and urban areas.
P1259,National Early Childhood Education Reform 14,Early Childhood,West Bengal,2020,0.89,Increase vocational skills score by 29% within 5 years and reduce disparities between rural and urban areas.,national early childhood education reform 14 increase vocational skills score by 29% within 5 years and reduce disparities between rural and urban areas.
P1233,District Primary Education Reform 32,Early Childhood,Tamil Nadu,2019,0.12,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district primary education reform 32 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1116,District Early Childhood Education Reform 89,Early Childhood,Tamil Nadu,2020,0.203,"Train 2860 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","district early childhood education reform 89 train 2860 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1121,National Vocational Education Reform 18,Secondary,West Bengal,2023,0.732,Increase digital access score by 19% within 3 years and reduce disparities between rural and urban areas.,national vocational education reform 18 increase digital access score by 19% within 3 years and reduce disparities between rural and urban areas.
P1350,District Early Childhood Education Reform 25,Vocational,Rajasthan,2015,0.318,Increase vocational skills score by 30% within 5 years and reduce disparities between rural and urban areas.,district early childhood education reform 25 increase vocational skills score by 30% within 5 years and reduce disparities between rural and urban areas.
P1225,State Primary Education Reform 47,Early Childhood,West Bengal,2020,0.843,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state primary education reform 47 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1403,State Vocational Education Reform 39,Secondary,Karnataka,2023,0.774,"Train 2363 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","state vocational education reform 39 train 2363 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1398,State Vocational Education Reform 61,Primary,West Bengal,2019,0.799,"Train 4129 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state vocational education reform 61 train 4129 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1128,National Vocational Education Reform 12,Primary,Maharashtra,2020,0.671,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 12 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1286,State Early Childhood Education Reform 6,Higher Education,Kerala,2017,0.312,Increase learning outcomes score by 27% within 3 years and reduce disparities between rural and urban areas.,state early childhood education reform 6 increase learning outcomes score by 27% within 3 years and reduce disparities between rural and urban areas.
P1412,District Higher Education Education Reform 76,Vocational,Maharashtra,2023,0.252,Increase digital access score by 21% within 1 years and reduce disparities between rural and urban areas.,district higher education education reform 76 increase digital access score by 21% within 1 years and reduce disparities between rural and urban areas.
P1108,District Secondary Education Reform 97,Vocational,Maharashtra,2019,0.395,Increase vocational skills score by 8% within 1 years and reduce disparities between rural and urban areas.,district secondary education reform 97 increase vocational skills score by 8% within 1 years and reduce disparities between rural and urban areas.
P1371,District Higher Education Education Reform 30,Early Childhood,Karnataka,2022,0.464,Increase digital access score by 33% within 2 years and reduce disparities between rural and urban areas.,district higher education education reform 30 increase digital access score by 33% within 2 years and reduce disparities between rural and urban areas.
P1326,State Primary Education Reform 27,Higher Education,Tamil Nadu,2017,0.568,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state primary education reform 27 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1134,National Higher Education Education Reform 99,Primary,Punjab,2025,0.139,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national higher education education reform 99 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1453,National Secondary Education Reform 61,Primary,Kerala,2022,0.552,Increase teacher quality score by 5% within 4 years and reduce disparities between rural and urban areas.,national secondary education reform 61 increase teacher quality score by 5% within 4 years and reduce disparities between rural and urban areas.
P1045,State Secondary Education Reform 50,Vocational,Maharashtra,2018,0.12,"Train 4686 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state secondary education reform 50 train 4686 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1461,National Primary Education Reform 66,Higher Education,Punjab,2021,0.82,Increase digital access score by 28% within 3 years and reduce disparities between rural and urban areas.,national primary education reform 66 increase digital access score by 28% within 3 years and reduce disparities between rural and urban areas.
P1066,District Vocational Education Reform 20,Secondary,Tamil Nadu,2024,0.702,Increase infrastructure score by 39% within 2 years and reduce disparities between rural and urban areas.,district vocational education reform 20 increase infrastructure score by 39% within 2 years and reduce disparities between rural and urban areas.
P1284,State Vocational Education Reform 31,Primary,Rajasthan,2015,0.313,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 31 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1086,National Early Childhood Education Reform 81,Early Childhood,West Bengal,2017,0.27,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 81 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1243,National Early Childhood Education Reform 91,Vocational,Rajasthan,2024,0.912,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 91 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1187,National Primary Education Reform 1,Early Childhood,Punjab,2021,0.288,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national primary education reform 1 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1384,National Primary Education Reform 52,Higher Education,Karnataka,2021,0.678,Increase teacher quality score by 36% within 1 years and reduce disparities between rural and urban areas.,national primary education reform 52 increase teacher quality score by 36% within 1 years and reduce disparities between rural and urban areas.
P1160,District Vocational Education Reform 75,Primary,Karnataka,2023,0.529,Increase teacher quality score by 24% within 2 years and reduce disparities between rural and urban areas.,district vocational education reform 75 increase teacher quality score by 24% within 2 years and reduce disparities between rural and urban areas.
P1013,State Vocational Education Reform 17,Higher Education,Gujarat,2020,0.987,Increase learning outcomes score by 9% within 2 years and reduce disparities between rural and urban areas.,state vocational education reform 17 increase learning outcomes score by 9% within 2 years and reduce disparities between rural and urban areas.
P1036,District Vocational Education Reform 35,Early Childhood,Rajasthan,2022,0.637,Increase learning outcomes score by 16% within 4 years and reduce disparities between rural and urban areas.,district vocational education reform 35 increase learning outcomes score by 16% within 4 years and reduce disparities between rural and urban areas.
